#----------THE CENTER COORDINATES PROVIDED HERE ARE *ONLY* USED FOR LABEL PLACING, THEY HAVE NO PHYSICAL MEANING-------
#StreamKey must be the exact name used in constructor to define each stream
#StreamKey   ShortName   RA      DEC       l      b      phi   theta       
#Set by star_list      
Sgr-L10      Sgr        ''       ''        8.   -14       6.    -10.     
Orphan       Orp        ""       ""      234. +53.5     233.    +37.    
Tri/Pis      TriPis     ''       ''      134. -36.0       ''      ''      
NGC5466      NGC5466   190.     37.      64.    80.     114.    72.9      
ACS          ACS        ''       ''       ''     ''       ''      ''      
Alpheus      Alp       22.      -68.    298.   -49.       ''      ''      
Hermus       Her      251.      48.      71.    43.      74.     58.       
Hyllus       Hyl      247.      33.      49.    43.      76.     53.       
Cetus        Cet        ''       ''       ''     ''       ''      ''       
Kwando       Kwa       19.      -25     207.   -78.      195     -56       
Molonglo     Mol        ''       ''       ''     ''       ''      ''       
Murrumbidgee Mur         6       4.     105.   -48.      137     -45      
Orinoco      Ori       12.    -25.       86.   -87.      151     -73      
##Set by pole      
PS1-A        PS1-A     ''       ''    ''    ''            ''      ''                
PS1-B        PS1-B     ''       ''    ''    ''          219.5     27             
PS1-C        PS1-C     ''       ''    ''    ''            ''      ''             
PS1-D        PS1-D     ''       ''    210.   +42.       228.      18.            
PS1-E        PS1-E     ''       ''    ''    ''            ''      ''             
ATLAS        ATLAS     ''       ''    ''     ''         186.     -64                  
Ophiucus     Ophi      ''       ''    ''    ''            ''      ''             
Sangarius    Sang   133.0     21.0       199.    36.    195.      26            
Scamander    Sca    147.0    +18.     235.      42.     193.      36            
Corvus       Cor    183.     -15.     288.98    46.21   270       58   
20.0-1       20-1   295.     -32.     7.75     -23.94   147       0   
04.5-1       4.5-1     ''       ''    332.8    -20.9     ''      ''  
08.0-1       8.0-1     ''       ''    356.4    -29.64    ''      ''  
08.0-1       8.0-1     ''       ''      8.4    -39.97    ''      ''  
09.0-1       9.0-1     ''       ''    330.6     26.85    ''      ''  
##Set by end points      
Phoenix     Phe     24.9      -49.     278.    -68.     238     -58       
WG1         WG1       96.      -55     264.    -26.      ''      ''       
WG2         WG2       71.      -52     259.    -40.      ''      ''       
WG3         WG3      308.      -49     351.    -38.       ''      ''       
WG4         WG4        ''       ''       ''     ''       ''      ''       
Acheron     Ach        ''       ''       ''     ''      161      16       
Cocytos     Coc        ''       ''      21.    50.     167.      72       
Lethe       Let       189       23      20.    82.     170.      64       
Styx        Styx       ''       ''      37.    53.       ''      ''       
Pal5        Pal5       ''       ''       ''     ''       ''      ''       
GD-1        GD-1      208       58      180.    57.       ''      ''       
ACS         ACS       130       50      162.    38.      ''      ''       
Pal15       Pal15      ''       ''       ''     ''       ''      ''       
Eridanus    Eri        ''       ''      218.   -42.      ''      ''       
Indus       Ind       349.   -64.        ''     ''       ''      ''       
Jhelum      Jhe       351.   -52.0      321.  -64.      289     -84.      
Ravi        Ravi      341.   -56.      353.   -56.       ''      ''       
Chenab      Che       323.  -55.       338.   -44.       ''      ''       
Elqui       Elq        ''       ''       ''     ''     249.     -75.      
Aliqa_Uma   Ali          ''    ''        ''     ''       ''      ''       
Turbio      Trb          ''     ''      286    -59       ''      ''       
Willka_Yaku WYak       36.   -65.        ''     ''       ''      ''       
Turranburra Trn        75.   -27.0      223.   -39.     212     -31       
Wambelong   Wam          ''    ''        ''     ''       ''      ''       
Palca       Palca      18.   -14.       182.   -82.     202      -72      
Jet         Jet         ''    ''        ''     ''       237     12        
##Set by lon-lat range      
VOD/VSS     VOD/VSS     ''    ''          ''     ''      ''      ''       
Monoceros  Mon         ''    ''          ''     ''      ''      ''       
EBS        EBS         ''    ''          ''     ''      ''      ''       
Her-Aq     HerAq       ''    ''         50.      0      ''      ''       
PAndAS     PAndAS       ''    ''         ''     ''      ''      ''       
Tri-And    TriAnd       5    24         102.    -36     126     -32       
Tri-And2   TriAnd2     13    34         123.    -28     136     -21       
PiscesOv   PisOv      350   +1.          81.    -55      92.    -54       
EriPhe     EriPhe      19.  -57.        299     -56     227     -48       
